keyword,category_name,country,trends_mean,trends_slope,yt_total_views,yt_engagement,ali_avg_sale_price,cluster,success_proba,rf_prob,xgb_prob_high,forecast_mean,trend_quality,consistency_score,social_velocity,POS,tier
montura para caballo,Apparel Accessories,MX,21.451613,1.629839,1046229.0,0.009611,44.187,Viral/Premium,0.44327,0.154829,0.006598,100.0,0.9109,0.0,245.243902,0.376166,MEDIUM
licra de mujer,"Sports Shoes,Clothing&Accessories",MX,19.774194,1.538306,6890.0,0.019594,23.572,Muerto,0.049258,0.144119,0.00798,100.0,1.271084,0.0,67.5,0.224163,LOW
taladro de bateria,Consumer Electronics,MX,36.774194,3.6625,3111.0,0.013179,40.568,Viral/Premium,0.992655,0.864514,0.945254,100.0,3.287438,0.0,10.25,0.655787,HIGH
maquina de soldar,Tools,MX,50.967742,0.827823,83430.0,0.018842,3826.537,Barato masivo,0.078698,0.127799,0.016175,100.0,1.338335,0.0,68.347826,0.237815,LOW
robot aspirador,Home Appliances,MX,3.296703,0.162096,9243.0,0.055069,343.917,Estable,0.008094,0.0,0.004392,17.885332,0.042883,1.1e-05,46.272727,0.174617,LOW
card play,"Automobiles, Parts & Accessories",MX,21.098901,-0.030642,,0.0,130.879,Muerto,0.01422,0.064097,0.004395,18.341137,-0.0199,0.0,0.0,0.172961,LOW
aspiradora de mano,Home Appliances,MX,10.395604,0.243717,52279.0,0.03225,1029.749,Barato masivo,0.057726,0.02,0.004391,32.330148,0.109745,0.0,73.304348,0.195702,LOW
aceite de oliva,Home & Garden,MX,70.032967,0.035659,240132.0,0.020064,24.123,Estable,0.005326,0.005,0.004421,73.242236,0.289289,0.000484,123.538462,0.239136,LOW
kit de extensiones de pestañas,Beauty & Health,MX,1.098901,-0.031852,4649.0,0.019144,15.891,Muerto,0.007534,0.0,0.004388,0.0,-0.003048,2.8e-05,17.8,0.174545,LOW
pestañas postizas,Beauty & Health,MX,33.538462,0.235117,1269.0,0.008668,18.243,Muerto,0.07112,0.648697,0.00503,54.698997,0.311272,0.0,3.666667,0.204937,LOW
brillo labial perfumado,Beauty & Health,MX,1.098901,0.0,,0.0,24.869,Muerto,0.009083,0.0,0.004388,1.098901,0.0,2.8e-05,0.0,0.174821,LOW
rubor liquido,Beauty & Health,MX,5.274725,0.086431,4040.0,0.021287,18.852222,Muerto,0.022761,0.005,0.004393,13.053512,0.027983,0.0,28.666667,0.178414,LOW
jabon blanqueador,Beauty & Health,MX,1.098901,0.054149,97555.0,0.029696,23.149,Estable,0.009697,0.0,0.004388,5.972289,0.005182,2.8e-05,482.833333,0.186826,LOW
cargador USB,Phones & Telecommunications Accessories,MX,38.934066,0.091575,759.0,0.007905,16.441,Muerto,0.028664,0.081426,0.004431,47.175824,0.110401,0.0,2.0,0.182377,LOW
guantes de nitrilo,Apparel Accessories,MX,52.098901,-0.184663,126484.0,0.030178,22.714,Estable,0.00397,0.029822,0.004431,35.479216,-0.359265,0.0,123.129032,0.162474,LOW
ganchos para puerta,"Automobiles, Parts & Accessories",MX,1.098901,0.060519,14945.0,0.018334,17.826,Muerto,0.004375,0.0,0.004388,6.545628,0.005792,2.8e-05,45.666667,0.174195,LOW
proyector para cine,Consumer Electronics,MX,1.989011,0.098917,100750.0,0.026164,25.535,Estable,0.000842,0.0,0.004388,10.891543,0.013647,1e-06,64.292683,0.170257,LOW
eslabones italianos,Jewelry & Accessories,MX,1.098901,0.017519,,0.0,6.847,Muerto,0.001248,0.0,0.004388,2.675585,0.001677,2.8e-05,0.0,0.171732,LOW
sarten huevos,Home & Garden,MX,8.21978,0.447826,1138007.0,0.027214,30.276,Estable,0.025641,0.025,0.004408,48.524128,0.154811,0.0,774.25,0.20097,LOW
lampara led escritorio,Lights & Lighting,MX,5.483516,0.305017,1250.0,0.0424,48.731,Muerto,0.008023,0.01,0.004388,32.935022,0.081081,0.0,2.789474,0.17333,LOW
soporte celular escritorio,Phones & Telecommunications Accessories,MX,2.065934,0.116961,1790.0,0.005028,27.368,Muerto,0.006525,0.005,0.004388,12.592451,0.016232,1e-06,0.75,0.171007,LOW
soporte celular coche magnetico,Phones & Telecommunications Accessories,MX,1.098901,0.012741,22470.0,0.005296,16.585,Muerto,0.003546,0.01,0.004388,2.245581,0.001219,2.8e-05,7.933333,0.17283,LOW
soporte celular bicicleta,Phones & Telecommunications Accessories,MX,1.098901,0.054149,2434.0,0.021775,31.663,Muerto,0.003878,0.0,0.004388,5.972289,0.005182,2.8e-05,4.076923,0.172979,LOW
base refrigerante laptop,Computer & Office,MX,1.098901,0.014333,7789.0,0.022211,143.05,Muerto,0.000712,0.0,0.004388,2.388915,0.001372,2.8e-05,21.625,0.17203,LOW
mini ventilador usb,Home Appliances,MX,1.791209,0.095461,496.0,0.008065,49.801,Muerto,0.008817,0.0,0.004388,10.382704,0.01283,4e-06,0.666667,0.172248,LOW
ventilador portatil mano,Home & Garden,MX,1.098901,0.055741,10213.0,0.013904,60.852,Muerto,0.003659,0.0,0.004388,6.115624,0.005334,2.8e-05,9.466667,0.173025,LOW
